,Class/Label
0,101 - Dog
1,102 - Rooster
2,103 - Pig
3,104 - Cow
4,105 - Frog
5,106 - Cat
6,107 - Hen
7,108 - Insect
8,109 - Sheep
9,110 - Crow
10,201 - Rain
11,202 - Sea waves
12,203 - Crackling fire
13,204- Crickets
14,205 - Chirping birds
15,206 - Water drops
16,207 - Wind
17,208 - Pouring water
18,209 - Toilet flush
19,210 - Thunderstorm
20,301 - Crying baby
21,302 - Sneezing
22,303 - Clapping
23,304 - Breathing
24,305 - Coughing
25,306 - Footsteps
26,307 - Laughing
27,308 - Brushing teeth
28,309 - Snoring
29,310 - Drinking - sipping
30,401 - Door knock
31,402 - Mouse click
32,403 - Keyboard typing
33,404 - Door - wood creaks
34,405 - Can opening
35,406 - Washing machine
36,407 - Vacuum cleaner
37,408 - Clock alarm
38,409 - Clock tick
39,410 - Glass breaking
40,501 - Helicopter
41,502 - Chainsaw
42,503 - Siren
43,504 - Car horn
44,505 - Engine
45,506 - Train
46,507 - Church bells
47,508 - Airplane
48,509 - Fireworks
49,510 - Hand saw
